source,category,balance,timestamp
paypal,income,1914.8,2017-04-10 07:56:31
paypal,income,1914.8,2017-04-10 07:56:32
paypal,income,1914.8,2017-04-10 07:56:34
paypal,income,1914.8,2017-04-10 07:56:36
paypal,income,1914.8,2017-04-10 07:56:38
paypal,income,1914.8,2017-04-10 07:56:40
paypal,income,1914.8,2017-04-10 07:56:42
paypal,income,1914.8,2017-04-10 07:56:44
paypal,income,1914.8,2017-04-10 07:56:46
paypal,income,1914.8,2017-04-10 07:56:48
paypal,income,1914.8,2017-04-10 07:56:49
paypal,income,1914.8,2017-04-10 07:56:51
paypal,income,1914.8,2017-04-10 07:56:53
paypal,income,1914.8,2017-04-10 07:56:55
paypal,income,1914.8,2017-04-10 07:56:57
paypal,income,1914.8,2017-04-10 07:56:59
paypal,income,1914.8,2017-04-10 07:57:01
paypal,income,1914.8,2017-04-10 07:57:03
paypal,income,1914.8,2017-04-10 07:57:05
paypal,income,1914.8,2017-04-10 07:57:07
paypal,income,1914.8,2017-04-10 07:57:09
paypal,income,1914.8,2017-04-10 07:57:11
paypal,income,1914.8,2017-04-10 07:57:13
paypal,income,1914.8,2017-04-10 07:57:15
paypal,income,1914.8,2017-04-10 07:57:17
paypal,income,1914.8,2017-04-10 07:57:18
paypal,income,1914.8,2017-04-10 07:57:20
paypal,income,1914.8,2017-04-10 07:57:22
paypal,income,1914.8,2017-04-10 07:57:24
paypal,income,1914.8,2017-04-10 07:57:26
paypal,income,1914.8,2017-04-10 07:57:29
paypal,income,1914.8,2017-04-10 07:57:31
paypal,income,1914.8,2017-04-10 07:57:32
paypal,income,1914.8,2017-04-10 07:57:34
paypal,income,1914.8,2017-04-10 07:57:36
paypal,income,1914.8,2017-04-10 07:57:38
paypal,income,1914.8,2017-04-10 07:57:40
paypal,income,1914.8,2017-04-10 07:57:42
paypal,income,1914.8,2017-04-10 07:57:44
paypal,income,1914.8,2017-04-10 07:57:46
paypal,income,1914.8,2017-04-10 07:57:48
paypal,income,1914.8,2017-04-10 07:57:50
